timestamp_s,temperature_c,humidity_percent,pressure_hpa,source,has_humidity,has_pressure
1789193180.319197,40.342124,23.072423,982.758057,sense_hat,1,1
1789193180.425780,40.342124,23.240800,982.791016,sense_hat,1,1
1789193180.532280,40.342124,23.127403,982.802734,sense_hat,1,1
1789193180.638785,40.323699,23.172075,982.771484,sense_hat,1,1
1789193180.745296,40.360549,23.134276,982.723145,sense_hat,1,1
1789193180.851794,40.360549,23.044933,982.673828,sense_hat,1,1
1789193180.958290,40.305275,23.027751,982.715088,sense_hat,1,1
1789193181.064791,40.323699,23.316398,982.740967,sense_hat,1,1
1789193181.171292,40.342124,23.130839,982.794434,sense_hat,1,1
1789193181.277794,40.342124,23.079295,982.851074,sense_hat,1,1
1789193181.384292,40.305275,23.123967,982.793701,sense_hat,1,1
1789193181.490807,40.342124,23.051805,982.780762,sense_hat,1,1
1789193181.597308,40.323699,23.302653,982.838379,sense_hat,1,1
1789193181.703811,40.323699,23.251109,982.803467,sense_hat,1,1
1789193181.810309,40.323699,23.058678,982.767334,sense_hat,1,1
1789193181.916808,40.342124,23.161766,982.771729,sense_hat,1,1
1789193182.023315,40.360549,23.175511,982.791504,sense_hat,1,1
1789193182.129847,40.360549,22.965898,982.746338,sense_hat,1,1
1789193182.236464,40.342124,23.089604,982.697754,sense_hat,1,1
1789193182.342975,40.323699,23.233928,982.699951,sense_hat,1,1
1789193182.449475,40.378974,23.051805,982.801758,sense_hat,1,1
1789193182.555975,40.360549,23.144585,982.715332,sense_hat,1,1
1789193182.662476,40.342124,23.110222,982.820557,sense_hat,1,1
1789193182.768976,40.323699,23.158330,982.774658,sense_hat,1,1
1789193182.875484,40.378974,23.020879,982.805176,sense_hat,1,1
1789193182.981984,40.323699,22.972771,982.727539,sense_hat,1,1
1789193183.088488,40.323699,23.409178,982.781494,sense_hat,1,1
1789193183.194989,40.342124,23.106786,982.757324,sense_hat,1,1
1789193183.301530,40.323699,23.144585,982.823975,sense_hat,1,1
1789193183.408032,40.342124,23.106786,982.817871,sense_hat,1,1
1789193183.514537,40.323699,23.003697,982.752686,sense_hat,1,1
1789193183.621045,40.342124,23.144585,982.775635,sense_hat,1,1
1789193183.727550,40.323699,23.172075,982.749512,sense_hat,1,1
1789193183.834093,40.323699,22.989952,982.699707,sense_hat,1,1
1789193183.940640,40.342124,23.158330,982.785400,sense_hat,1,1
