timestamp_s,temperature_c,humidity_percent,pressure_hpa,source,has_humidity,has_pressure
1789011857.000000,41.816113,27.075685,982.456543,sense_hat,1,1
1789011858.000000,41.797688,27.058504,982.438721,sense_hat,1,1
1789011859.000000,41.852962,27.082558,982.413330,sense_hat,1,1
1789011860.000000,41.834538,27.044759,982.438232,sense_hat,1,1
1789011861.000000,41.908237,27.110048,982.471436,sense_hat,1,1
1789011862.000000,41.889812,27.072249,982.416504,sense_hat,1,1
1789011863.000000,41.871387,26.976033,982.403564,sense_hat,1,1
1789011864.000000,41.742413,27.072249,982.434814,sense_hat,1,1
1789011865.000000,41.723988,27.089430,982.425537,sense_hat,1,1
1789011866.000000,41.742413,27.178773,982.475098,sense_hat,1,1
1789011867.000000,41.779263,27.123793,982.436768,sense_hat,1,1
1789011868.000000,41.760838,27.158156,982.457275,sense_hat,1,1
1789011869.000000,41.723988,27.082558,982.500732,sense_hat,1,1
1789011870.000000,41.705564,27.127229,982.399902,sense_hat,1,1
1789011871.000000,41.760838,27.075685,982.452393,sense_hat,1,1
1789011872.000000,41.760838,27.068813,982.442139,sense_hat,1,1
1789011873.000000,41.816113,27.020705,982.445557,sense_hat,1,1
1789011874.000000,41.834538,27.082558,982.464111,sense_hat,1,1
1789011875.000000,41.834538,27.096303,982.445557,sense_hat,1,1
1789011876.000000,41.871387,27.065376,982.415527,sense_hat,1,1
1789011877.000000,41.852962,27.065376,982.468506,sense_hat,1,1
1789011878.000000,41.889812,27.178773,982.502930,sense_hat,1,1
1789011879.000000,41.908237,26.924489,982.459229,sense_hat,1,1
1789011880.000000,41.926662,27.075685,982.394775,sense_hat,1,1
1789011881.000000,41.816113,27.165028,982.499756,sense_hat,1,1
1789011882.000000,41.871387,27.003523,982.474854,sense_hat,1,1
1789011883.000000,41.889812,27.003523,982.451416,sense_hat,1,1
1789011884.000000,41.908237,27.106612,982.508789,sense_hat,1,1
1789011885.000000,41.908237,27.089430,982.439941,sense_hat,1,1
1789011886.000000,41.926662,27.037886,982.493896,sense_hat,1,1
1789011887.000000,41.908237,27.044759,982.523193,sense_hat,1,1
1789011888.000000,41.926662,27.075685,982.452148,sense_hat,1,1
1789011889.000000,41.963512,27.027577,982.473633,sense_hat,1,1
1789011890.000000,41.926662,27.103175,982.462402,sense_hat,1,1
1789011891.000000,41.889812,27.085994,982.428955,sense_hat,1,1
1789011892.000000,41.926662,27.085994,982.464111,sense_hat,1,1
1789011893.000000,41.852962,26.883254,982.407227,sense_hat,1,1
1789011894.000000,41.963512,26.996651,982.425049,sense_hat,1,1
1789011895.000000,41.908237,26.958852,982.375977,sense_hat,1,1
1789011896.000000,41.981936,27.000087,982.410645,sense_hat,1,1
1789011897.000000,41.981936,26.996651,982.427979,sense_hat,1,1
1789011898.000000,41.963512,27.048195,982.406738,sense_hat,1,1
1789011899.000000,41.963512,27.020705,982.412109,sense_hat,1,1
1789011900.000000,41.945087,26.972597,982.456055,sense_hat,1,1
1789011901.000000,41.926662,27.003523,982.444824,sense_hat,1,1
1789011902.000000,42.018786,27.034450,982.443848,sense_hat,1,1
1789011903.000000,42.000361,27.003523,982.454102,sense_hat,1,1
1789011904.000000,41.926662,27.082558,982.443115,sense_hat,1,1
1789011905.000000,41.926662,27.013832,982.441895,sense_hat,1,1
1789011906.000000,42.000361,27.017268,982.444580,sense_hat,1,1
1789011907.000000,42.000361,27.116920,982.448242,sense_hat,1,1
1789011908.000000,41.981936,27.034450,982.408936,sense_hat,1,1
1789011909.000000,42.037211,27.058504,982.431396,sense_hat,1,1
1789011910.000000,41.981936,26.938234,982.442871,sense_hat,1,1
1789011911.000000,42.018786,26.945107,982.442871,sense_hat,1,1
1789011912.000000,42.055636,27.006960,982.409180,sense_hat,1,1
1789011913.000000,42.000361,26.996651,982.395752,sense_hat,1,1
1789011914.000000,42.018786,27.072249,982.459473,sense_hat,1,1
1789011915.000000,41.963512,26.986342,982.438232,sense_hat,1,1
1789011916.000000,42.037211,26.996651,982.422363,sense_hat,1,1
1789011917.000000,41.945087,27.099739,982.362061,sense_hat,1,1
1789191904.000000,41.244942,22.450457,982.709229,sense_hat,1,1
1789191904.000000,41.226517,22.333623,982.739258,sense_hat,1,1
1789191905.000000,41.226517,22.319878,982.720215,sense_hat,1,1
1789191905.000000,41.226517,22.495128,982.736816,sense_hat,1,1
1789191905.000000,41.244942,22.543236,982.721436,sense_hat,1,1
1789191905.000000,41.281792,22.288952,982.715576,sense_hat,1,1
1789191905.000000,41.281792,22.553545,982.691406,sense_hat,1,1
1789191905.000000,41.281792,22.477947,982.803711,sense_hat,1,1
1789191905.000000,41.263367,22.371422,982.805176,sense_hat,1,1
1789191905.000000,41.300217,22.333623,982.834961,sense_hat,1,1
1789191905.000000,41.244942,22.330187,982.766357,sense_hat,1,1
1789191905.000000,41.300217,22.416094,982.758301,sense_hat,1,1
1789191906.000000,41.300217,22.261462,982.788574,sense_hat,1,1
1789191906.000000,41.300217,22.378295,982.812744,sense_hat,1,1
1789191906.000000,41.300217,22.306133,982.845703,sense_hat,1,1
1789191906.000000,41.318642,22.526055,982.834229,sense_hat,1,1
1789191906.000000,41.337066,22.412658,982.790527,sense_hat,1,1
1789191906.000000,41.318642,22.426403,982.817627,sense_hat,1,1
1789191906.000000,41.300217,22.278643,982.809326,sense_hat,1,1
1789191906.000000,41.300217,22.471074,982.802246,sense_hat,1,1
1789191906.000000,41.337066,22.481383,982.783447,sense_hat,1,1
1789191907.000000,41.337066,22.388604,982.776123,sense_hat,1,1
1789191907.000000,41.337066,22.405785,982.817383,sense_hat,1,1
1789191907.000000,41.337066,22.313006,982.833984,sense_hat,1,1
1789191907.000000,41.318642,22.436712,982.822998,sense_hat,1,1
1789191907.000000,41.337066,22.395476,982.788574,sense_hat,1,1
1789191907.000000,41.318642,22.474511,982.801025,sense_hat,1,1
1789191907.000000,41.318642,22.433275,982.798584,sense_hat,1,1
1789191907.000000,41.337066,22.426403,982.813721,sense_hat,1,1
1789191907.000000,41.337066,22.409221,982.765869,sense_hat,1,1
1789191908.000000,41.318642,22.481383,982.779541,sense_hat,1,1
1789191908.000000,41.373916,22.505437,982.781738,sense_hat,1,1
1789191908.000000,41.355491,22.371422,982.815674,sense_hat,1,1
1789191908.000000,41.355491,22.433275,982.831055,sense_hat,1,1
1789191908.000000,41.373916,22.367986,982.822510,sense_hat,1,1
1789191908.000000,41.318642,22.385167,982.802490,sense_hat,1,1
1789191908.000000,41.355491,22.395476,982.802979,sense_hat,1,1
1789191908.000000,41.373916,22.347368,982.789551,sense_hat,1,1
1789191908.000000,41.355491,22.422967,982.839844,sense_hat,1,1
1789191908.000000,41.355491,22.392040,982.795654,sense_hat,1,1
1789191909.000000,41.355491,22.364550,982.820557,sense_hat,1,1
1789191909.000000,41.373916,22.381731,982.761230,sense_hat,1,1
1789191909.000000,41.410766,22.405785,982.844482,sense_hat,1,1
1789191909.000000,41.392341,22.395476,982.835205,sense_hat,1,1
1789191909.000000,41.355491,22.488256,982.802734,sense_hat,1,1
1789191909.000000,41.410766,22.398913,982.803955,sense_hat,1,1
1789191909.000000,41.355491,22.392040,982.800537,sense_hat,1,1
1789191909.000000,41.355491,22.402349,982.862061,sense_hat,1,1
1789191909.000000,41.373916,22.471074,982.843506,sense_hat,1,1
1789191910.000000,41.337066,22.395476,982.823486,sense_hat,1,1
1789191910.000000,41.318642,22.398913,982.829346,sense_hat,1,1
1789191910.000000,41.355491,22.546672,982.809082,sense_hat,1,1
1789191910.000000,41.355491,22.364550,982.843750,sense_hat,1,1
1789191910.000000,41.337066,22.440148,982.887939,sense_hat,1,1
1789191910.000000,41.337066,22.426403,982.757080,sense_hat,1,1
1789191910.000000,41.337066,22.481383,982.800049,sense_hat,1,1
1789191910.000000,41.337066,22.254589,982.797119,sense_hat,1,1
1789191910.000000,41.373916,22.550109,982.844482,sense_hat,1,1
1789191910.000000,41.392341,22.385167,982.821289,sense_hat,1,1
1789191911.000000,41.373916,22.275207,982.794678,sense_hat,1,1
1789191911.000000,41.355491,22.299261,982.823975,sense_hat,1,1
1789191911.000000,41.373916,22.553545,982.812988,sense_hat,1,1
1789191911.000000,41.355491,22.605089,982.839355,sense_hat,1,1
1789191911.000000,41.355491,22.330187,982.835693,sense_hat,1,1
1789191911.000000,41.355491,22.264898,982.814453,sense_hat,1,1
1789191911.000000,41.337066,22.374859,982.805176,sense_hat,1,1
1789191911.000000,41.318642,22.388604,982.831543,sense_hat,1,1
1789191911.000000,41.337066,22.337060,982.840576,sense_hat,1,1
1789191912.000000,41.337066,22.436712,982.837158,sense_hat,1,1
1789191912.000000,41.337066,22.347368,982.822021,sense_hat,1,1
1789191912.000000,41.337066,22.556981,982.849365,sense_hat,1,1
1789191912.000000,41.337066,22.436712,982.856445,sense_hat,1,1
1789191912.000000,41.318642,22.570726,982.805908,sense_hat,1,1
1789191912.000000,41.355491,22.323314,982.808105,sense_hat,1,1
1789191912.000000,41.373916,22.357677,982.741699,sense_hat,1,1
1789191912.000000,41.373916,22.495128,982.809814,sense_hat,1,1
1789191912.000000,41.355491,22.522619,982.798828,sense_hat,1,1
1789191913.000000,41.337066,22.337060,982.765625,sense_hat,1,1
1789191913.000000,41.355491,22.457329,982.761963,sense_hat,1,1
1789191913.000000,41.318642,22.343932,982.864990,sense_hat,1,1
1789191913.000000,41.355491,22.330187,982.812500,sense_hat,1,1
1789191913.000000,41.355491,22.367986,982.839111,sense_hat,1,1
1789191913.000000,41.355491,22.491692,982.867676,sense_hat,1,1
